experiment,image,method,kernel,pred_count,gt_count,abs_error,count_accuracy,small,normal,large_stuck
otsu_k3,01207e3d7e.jpg,otsu,3,7,5,2,0.6,2,3,2
otsu_k3,0140acf6eb.jpg,otsu,3,1,4,3,0.25,0,1,0
otsu_k3,025c8579f0.jpg,otsu,3,1,2,1,0.5,0,1,0
otsu_k3,028ca794e7.jpg,otsu,3,5,4,1,0.75,1,3,1
otsu_k3,02e080206f.jpg,otsu,3,30,40,10,0.75,2,25,3
otsu_k3,0391d1cd81.jpg,otsu,3,4,1,3,-2.0,2,0,2
otsu_k3,03ab6f403f.jpg,otsu,3,2,2,0,1.0,0,2,0
otsu_k3,05c7bef607.jpg,otsu,3,2,3,1,0.6666666666666667,1,1,0
otsu_k3,06592a2984.jpg,otsu,3,16,1,15,-14.0,3,7,6
otsu_k3,06dbf139bd.jpg,otsu,3,6,3,3,0.0,0,4,2
otsu_k3,06de4d46b4.jpg,otsu,3,15,14,1,0.9285714285714286,5,4,6
otsu_k3,0712ebe773.jpg,otsu,3,1,15,14,0.06666666666666665,0,1,0
otsu_k3,078aaee7f6.jpg,otsu,3,2,2,0,1.0,0,2,0
otsu_k3,0992f9217f.jpg,otsu,3,17,16,1,0.9375,0,16,1
otsu_k3,0bcb8457d5.jpg,otsu,3,23,11,12,-0.09090909090909083,10,4,9
otsu_k3,0c0f693a3e.jpg,otsu,3,24,10,14,-0.3999999999999999,8,6,10
otsu_k3,0c7067ece2.jpg,otsu,3,2,1,1,0.0,1,0,1
otsu_k3,11178d409d.jpg,otsu,3,29,8,21,-1.625,3,17,9
otsu_k3,14080c2080.jpg,otsu,3,5,9,4,0.5555555555555556,2,1,2
otsu_k3,1576817f96.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,16f46adcc2.jpg,otsu,3,11,4,7,-0.75,0,7,4
otsu_k3,1a203989bd.jpg,otsu,3,21,34,13,0.6176470588235294,4,15,2
otsu_k3,1d5fb7f409.jpg,otsu,3,5,4,1,0.75,0,5,0
otsu_k3,1e5109de3a.jpg,otsu,3,7,8,1,0.875,1,5,1
otsu_k3,207092513f.jpg,otsu,3,3,8,5,0.375,1,1,1
otsu_k3,209529add9.jpg,otsu,3,3,3,0,1.0,0,2,1
otsu_k3,21ad309395.jpg,otsu,3,4,15,11,0.2666666666666667,0,3,1
otsu_k3,23560e97ad.jpg,otsu,3,3,15,12,0.19999999999999996,0,2,1
otsu_k3,244d4d4639.jpg,otsu,3,7,10,3,0.7,0,6,1
otsu_k3,24699d577c.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,26fb204f51.jpg,otsu,3,27,3,24,-7.0,9,12,6
otsu_k3,27ad5d7140.jpg,otsu,3,12,9,3,0.6666666666666667,4,6,2
otsu_k3,2bf5e82e5a.jpg,otsu,3,12,8,4,0.5,2,7,3
otsu_k3,2c8f0e58fb.jpg,otsu,3,2,2,0,1.0,0,2,0
otsu_k3,2ed9a9c1e2.jpg,otsu,3,8,8,0,1.0,0,8,0
otsu_k3,2f52601471.jpg,otsu,3,2,3,1,0.6666666666666667,1,1,0
otsu_k3,31357b26f3.jpg,otsu,3,1,5,4,0.19999999999999996,0,1,0
otsu_k3,31e4b72f06.jpg,otsu,3,9,1,8,-7.0,4,2,3
otsu_k3,321f79f6bb.jpg,otsu,3,4,2,2,0.0,2,0,2
otsu_k3,342d14adbd.jpg,otsu,3,21,5,16,-2.2,0,14,7
otsu_k3,35f856e199.jpg,otsu,3,5,5,0,1.0,1,4,0
otsu_k3,3613533eef.jpg,otsu,3,4,2,2,0.0,2,1,1
otsu_k3,3731e4b26c.jpg,otsu,3,14,28,14,0.5,2,10,2
otsu_k3,3942739722.jpg,otsu,3,23,1,22,-21.0,6,9,8
otsu_k3,3a31d6cc15.jpg,otsu,3,1,5,4,0.19999999999999996,0,1,0
otsu_k3,3c64dca0b6.jpg,otsu,3,3,21,18,0.1428571428571429,1,1,1
otsu_k3,3d315bb61e.jpg,otsu,3,6,30,24,0.19999999999999996,2,2,2
otsu_k3,3fa08174b0.jpg,otsu,3,37,5,32,-5.4,3,25,9
otsu_k3,419d2d60c3.jpg,otsu,3,22,20,2,0.9,5,13,4
otsu_k3,41ee53b36e.jpg,otsu,3,80,16,64,-3.0,26,30,24
otsu_k3,421f429a45.jpg,otsu,3,10,8,2,0.75,2,8,0
otsu_k3,424d624a79.jpg,otsu,3,2,2,0,1.0,0,2,0
otsu_k3,4291a46303.jpg,otsu,3,1,3,2,0.33333333333333337,0,1,0
otsu_k3,42a0da06b7.jpg,otsu,3,1,2,1,0.5,0,1,0
otsu_k3,4359d7bf90.jpg,otsu,3,1,3,2,0.33333333333333337,0,1,0
otsu_k3,43de9c935d.jpg,otsu,3,4,1,3,-2.0,2,0,2
otsu_k3,444107b8c9.jpg,otsu,3,6,14,8,0.4285714285714286,0,5,1
otsu_k3,4464e8c6c9.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,44cf53bcde.jpg,otsu,3,16,16,0,1.0,1,14,1
otsu_k3,44e195e1ef.jpg,otsu,3,10,8,2,0.75,5,1,4
otsu_k3,46076bb5d5.jpg,otsu,3,10,5,5,0.0,4,2,4
otsu_k3,47b061170d.jpg,otsu,3,1,8,7,0.125,0,1,0
otsu_k3,48fa79d7ae.jpg,otsu,3,10,8,2,0.75,3,7,0
otsu_k3,49fd927d4c.jpg,otsu,3,12,5,7,-0.3999999999999999,3,8,1
otsu_k3,4a1315d458.jpg,otsu,3,20,2,18,-8.0,2,14,4
otsu_k3,4a4bd0f725.jpg,otsu,3,22,40,18,0.55,1,15,6
otsu_k3,4c0fee8a9c.jpg,otsu,3,61,16,45,-1.8125,20,23,18
otsu_k3,4ca15155e9.jpg,otsu,3,1,2,1,0.5,0,1,0
otsu_k3,4e47138c7e.jpg,otsu,3,6,6,0,1.0,0,4,2
otsu_k3,4e95f6db6a.jpg,otsu,3,28,24,4,0.8333333333333334,12,5,11
otsu_k3,4e9e203a40.jpg,otsu,3,5,9,4,0.5555555555555556,1,3,1
otsu_k3,4fe02e46cb.jpg,otsu,3,12,2,10,-4.0,4,3,5
otsu_k3,50797d435f.jpg,otsu,3,42,34,8,0.7647058823529411,16,18,8
otsu_k3,50e7fe98b7.jpg,otsu,3,33,35,2,0.9428571428571428,1,30,2
otsu_k3,5189314af4.jpg,otsu,3,2,2,0,1.0,0,2,0
otsu_k3,563563f749.jpg,otsu,3,4,5,1,0.8,2,0,2
otsu_k3,566b1031a8.jpg,otsu,3,15,20,5,0.75,4,9,2
otsu_k3,569a5a3984.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,5ab456ac02.jpg,otsu,3,7,11,4,0.6363636363636364,2,4,1
otsu_k3,5b7a05e3dd.jpg,otsu,3,1,7,6,0.1428571428571429,0,1,0
otsu_k3,5d6b82679d.jpg,otsu,3,4,4,0,1.0,0,4,0
otsu_k3,5edc210162.jpg,otsu,3,7,3,4,-0.33333333333333326,2,2,3
otsu_k3,5f8a04cee8.jpg,otsu,3,8,7,1,0.8571428571428572,3,2,3
otsu_k3,609e94b29b.jpg,otsu,3,20,16,4,0.75,6,5,9
otsu_k3,60fc6231cd.jpg,otsu,3,1,5,4,0.19999999999999996,0,1,0
otsu_k3,61958bd2dd.jpg,otsu,3,5,5,0,1.0,0,3,2
otsu_k3,670dc0a72f.jpg,otsu,3,3,2,1,0.5,1,1,1
otsu_k3,681165d9f1.jpg,otsu,3,4,4,0,1.0,0,4,0
otsu_k3,6bf1678fa3.jpg,otsu,3,10,2,8,-3.0,4,3,3
otsu_k3,6bf4f833a4.jpg,otsu,3,9,8,1,0.875,2,7,0
otsu_k3,6d2e7e9448.jpg,otsu,3,7,9,2,0.7777777777777778,3,2,2
otsu_k3,6d4d37ae2c.jpg,otsu,3,4,5,1,0.8,1,2,1
otsu_k3,6da8539078.jpg,otsu,3,33,5,28,-4.6,14,6,13
otsu_k3,6dc3173bf2.jpg,otsu,3,11,8,3,0.625,4,4,3
otsu_k3,716dcf2d66.jpg,otsu,3,18,3,15,-4.0,1,11,6
otsu_k3,7262427976.jpg,otsu,3,49,1,48,-47.0,4,32,13
otsu_k3,72d0dbe5f5.jpg,otsu,3,2,34,32,0.05882352941176472,1,0,1
otsu_k3,766f507935.jpg,otsu,3,28,16,12,0.25,11,16,1
otsu_k3,767455e3f9.jpg,otsu,3,3,2,1,0.5,1,2,0
otsu_k3,7779953784.jpg,otsu,3,3,2,1,0.5,0,2,1
otsu_k3,782058a969.jpg,otsu,3,8,5,3,0.4,3,3,2
otsu_k3,79eb826b40.jpg,otsu,3,9,24,15,0.375,3,3,3
otsu_k3,7c13cfe7f1.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,7c3720e174.jpg,otsu,3,5,7,2,0.7142857142857143,0,4,1
otsu_k3,7c7942b825.jpg,otsu,3,6,8,2,0.75,3,1,2
otsu_k3,7ce16206bb.jpg,otsu,3,8,8,0,1.0,0,8,0
otsu_k3,7e122f5d1f.jpg,otsu,3,8,8,0,1.0,1,4,3
otsu_k3,827d23c09e.jpg,otsu,3,8,8,0,1.0,1,7,0
otsu_k3,85e4b42fb6.jpg,otsu,3,10,8,2,0.75,3,5,2
otsu_k3,8605748432.jpg,otsu,3,12,20,8,0.6,1,9,2
otsu_k3,868bb275c3.jpg,otsu,3,7,8,1,0.875,0,5,2
otsu_k3,87a1c3b8af.jpg,otsu,3,4,5,1,0.8,1,2,1
otsu_k3,87f4bed37f.jpg,otsu,3,1,2,1,0.5,0,1,0
otsu_k3,898beeed4c.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,8c7c691333.jpg,otsu,3,9,1,8,-7.0,0,5,4
otsu_k3,8e89dfa19b.jpg,otsu,3,6,6,0,1.0,0,5,1
otsu_k3,9082197e8c.jpg,otsu,3,54,1,53,-52.0,11,30,13
otsu_k3,908f1fc748.jpg,otsu,3,8,1,7,-6.0,2,5,1
otsu_k3,91851d8baa.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,94b5bdb199.jpg,otsu,3,4,4,0,1.0,0,3,1
otsu_k3,962d332c3c.jpg,otsu,3,10,6,4,0.33333333333333337,4,4,2
otsu_k3,97868f7555.jpg,otsu,3,1,5,4,0.19999999999999996,0,1,0
otsu_k3,97e6af6151.jpg,otsu,3,5,7,2,0.7142857142857143,2,1,2
otsu_k3,980bc77535.jpg,otsu,3,1,3,2,0.33333333333333337,0,1,0
otsu_k3,98e915fe15.jpg,otsu,3,33,2,31,-14.5,0,19,14
otsu_k3,990db901a0.jpg,otsu,3,18,34,16,0.5294117647058824,4,12,2
otsu_k3,9981524f15.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,9ab6493bdc.jpg,otsu,3,8,2,6,-2.0,1,6,1
otsu_k3,9b1df4ab21.jpg,otsu,3,2,2,0,1.0,0,2,0
otsu_k3,9bdccee820.jpg,otsu,3,8,8,0,1.0,0,8,0
otsu_k3,9d2dea7b8f.jpg,otsu,3,11,9,2,0.7777777777777778,5,2,4
otsu_k3,9e575d70ea.jpg,otsu,3,3,3,0,1.0,1,1,1
otsu_k3,9ef3898d38.jpg,otsu,3,12,4,8,-1.0,4,3,5
otsu_k3,a15f18c804.jpg,otsu,3,15,7,8,-0.1428571428571428,5,3,7
otsu_k3,a188d78b85.jpg,otsu,3,7,5,2,0.6,2,2,3
otsu_k3,a19f00a771.jpg,otsu,3,1,8,7,0.125,0,1,0
otsu_k3,a1fae3d9ea.jpg,otsu,3,18,26,8,0.6923076923076923,4,9,5
otsu_k3,a5faa8e072.jpg,otsu,3,5,23,18,0.21739130434782605,0,3,2
otsu_k3,a61fb409e8.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,abd33e40b9.jpg,otsu,3,1,6,5,0.16666666666666663,0,1,0
otsu_k3,ae2a9d0217.jpg,otsu,3,13,2,11,-4.5,1,9,3
otsu_k3,afc5895108.jpg,otsu,3,5,10,5,0.5,2,2,1
otsu_k3,afed6c9305.jpg,otsu,3,6,2,4,-1.0,1,3,2
otsu_k3,b05183cf6c.jpg,otsu,3,1,1,0,1.0,0,1,0
otsu_k3,b22b3d9c4e.jpg,otsu,3,8,1,7,-6.0,0,5,3
otsu_k3,b36a35b1cf.jpg,otsu,3,4,4,0,1.0,1,2,1
otsu_k3,b490ad931a.jpg,otsu,3,53,16,37,-1.3125,17,19,17
